Gift ID: 6064, Gift Name: GG, Gift Type: 1
Gift ID: 5827, Gift Name: Ice Cream Cone, Gift Type: 1
Gift ID: 5655, Gift Name: Rose, Gift Type: 1
Gift ID: 5269, Gift Name: TikTok, Gift Type: 1
Gift ID: 5487, Gift Name: Finger Heart, Gift Type: 1
Gift ID: 8913, Gift Name: Rosa, Gift Type: 1
Gift ID: 5658, Gift Name: Perfume, Gift Type: 1
Gift ID: 5879, Gift Name: Doughnut, Gift Type: 1
Gift ID: 9072, Gift Name: TikTok Universe, Gift Type: 2
Gift ID: 8582, Gift Name: TikTok Stars, Gift Type: 2
Gift ID: 8381, Gift Name: Seal and Whale, Gift Type: 2
Gift ID: 7823, Gift Name: Leon and Lion, Gift Type: 2
Gift ID: 8456, Gift Name: Zeus, Gift Type: 2
Gift ID: 8391, Gift Name: Sam the Whale, Gift Type: 2
Gift ID: 6369, Gift Name: Lion, Gift Type: 2
Gift ID: 6955, Gift Name: Golden sports car, Gift Type: 2
Gift ID: 7610, Gift Name: Dragon Flame, Gift Type: 2
Gift ID: 7319, Gift Name: Phoenix, Gift Type: 2
Gift ID: 7400, Gift Name: Adam’s Dream, Gift Type: 2
Gift ID: 6751, Gift Name: TikTok Shuttle, Gift Type: 2
Gift ID: 9501, Gift Name: Yacht, Gift Type: 2
Gift ID: 9110, Gift Name: American Eagle, Gift Type: 2
Gift ID: 8707, Gift Name: Diamond flight, Gift Type: 2
Gift ID: 9466, Gift Name: Amusement Park, Gift Type: 2
Gift ID: 7978, Gift Name: Leopard, Gift Type: 2
Gift ID: 8468, Gift Name: Bran Castle, Gift Type: 2
Gift ID: 8912, Gift Name: Rosa Nebula, Gift Type: 2
Gift ID: 9556, Gift Name: Leopard, Gift Type: 2
Gift ID: 8419, Gift Name: Red Lightning, Gift Type: 2
Gift ID: 6149, Gift Name: Interstellar, Gift Type: 2
Gift ID: 6203, Gift Name: Sunset Speedway, Gift Type: 2
Gift ID: 8916, Gift Name: Leon and Lili, Gift Type: 2
Gift ID: 8420, Gift Name: Star Throne, Gift Type: 2
Gift ID: 6089, Gift Name: Sports Car, Gift Type: 2
Gift ID: 6790, Gift Name: Celebration Time, Gift Type: 2
Gift ID: 9467, Gift Name: Lili the Leopard, Gift Type: 2
Gift ID: 7612, Gift Name: Truck, Gift Type: 2
Gift ID: 8433, Gift Name: Silver Sports Car, Gift Type: 2
